site_no,logchan_width,clusterGeomorphIndex
2313000.0,3.6839297243880225,16
2313230.0,3.539944316337615,5
2313250.0,3.417726683613366,1
2314274.0,2.4098687582137206,1
2314500.0,3.4759955917373415,16
2315000.0,3.6165775423585313,1
2315500.0,3.539944316337615,4
2315550.0,3.680090948080857,6
2316000.0,2.96752568166381,16
2317000.0,2.8643414454285794,16
2317500.0,3.2546193457432158,7
2317755.0,2.890093941530994,3
2318500.0,3.4076763477598644,15
2319300.0,3.7823697972012753,4
2319394.0,3.789290240045849,6
2319500.0,4.357733942104837,12
2319800.0,4.46153073578648,10
2320000.0,4.485879764796767,11
2320500.0,4.429327595291846,11
2320700.0,1.8570789353486976,1
2321500.0,3.2433732964685884,2
2321975.0,3.8527505939630746,3
2322000.0,3.5832411220909393,2
2322500.0,3.775401127885182,5
2323500.0,4.793970708879755,16
2327355.0,2.6192189873955942,4
2327500.0,3.1166215908294443,16
2328522.0,3.6000482404073204,2
2329000.0,3.4375293109095457,4
2330000.0,4.2039087301405,5
2330150.0,3.906306698432037,16
2330450.0,2.890093941530994,2
2331000.0,3.54875494601977,3
2331600.0,3.918501971525855,3
2335000.0,4.105861322349767,3
2335450.0,4.197051560414364,3
2335830.0,4.403543478136132,8
2336000.0,4.272142011769433,7
2336490.0,4.005513348515485,7
2337170.0,4.284827171296749,10
2338000.0,4.4509111669590204,11
2338500.0,4.620698987605718,10
2339500.0,4.778703236748966,11
2343805.0,4.67191720409992,15
2344350.0,2.754138305294965,1
2344396.0,3.0610517396746335,1
2344500.0,3.2552077541155913,2
2344872.0,3.6488384045767526,6
2346180.0,4.219728269085393,7
2347500.0,4.150094577326593,8
2349500.0,4.219728269085393,16
2349605.0,4.276388302650885,9
2350512.0,4.529584199031496,10
2352500.0,3.912422925449473,16
2353000.0,4.418358563921272,12
2356000.0,4.670489652108734,13
2388900.0,2.9069010598473755,1
2388975.0,3.032064202801381,7
2389150.0,3.009758445287083,5
2391860.0,3.54875494601977,8
2392000.0,3.5574886259885243,10
2394000.0,4.614674873002337,8
2394670.0,3.839721093672741,13
2395000.0,4.120824195026479,9
2395980.0,4.135566476763683,8
2396000.0,3.9305503100420296,7
2411930.0,2.9364598620889195,5
2412000.0,3.3343450746743146,7
2414500.0,4.432957363342425,3
2414715.0,3.706657975465579,5
2418500.0,4.309724722918476,7
2419890.0,4.726059503263545,10
2423130.0,2.423474410269499,1
2423425.0,2.6411978941143697,4
2423496.0,3.137351186344023,3
2423500.0,2.8556077654598244,4
2423555.0,3.5130368634176907,4
2424000.0,4.00828727539821,7
2424590.0,3.6083470432220155,5
2458148.0,1.4867051470518033,1
2458200.0,2.278292400425001,1
2458300.0,2.573756613318837,1
2458502.0,2.550226115908643,1
2458600.0,2.872999508171694,16
2482550.0,3.9773424715487886,16
2483500.0,4.080414656688602,16
2485601.0,3.974481239267756,12
2486000.0,4.0110535288911,10
2488000.0,4.4961362649639565,10
2489000.0,4.513000071015961,16
3007800.0,3.2669037938787824,4
3010500.0,3.531055368920369,4
3015310.0,4.838422471450589,11
3016000.0,5.194372515031373,12
3025500.0,5.317592894167272,13
3031500.0,5.478240215407683,14
3036500.0,5.531569652010535,14
3049500.0,5.562487691413844,14
3050000.0,3.3664333892258154,3
3050500.0,3.5130368634176907,2
3051000.0,3.918501971525855,5
3054500.0,4.201628227441775,7
3056000.0,4.529584199031496,11
3057000.0,4.4509111669590204,10
3075500.0,3.323416004142125,3
3076500.0,3.775401127885182,5
3077500.0,4.272142011769433,9
3081000.0,4.720639435794205,8
3082500.0,4.353820042783701,11
3083500.0,4.7124538512077665,11
3086000.0,5.885826215084985,15
3086500.0,3.3664333892258154,4
3090500.0,3.566146688731639,8
3091500.0,3.1563619194789583,7
3094000.0,3.6408702349275757,10
3097550.0,3.9001528328576587,4
3098600.0,3.6000482404073204,6
3099500.0,4.048998460455223,6
3151520.0,2.837908188360424,3
3151600.0,3.289893312103481,5
3152000.0,3.1030159387736655,7
3153500.0,3.7683835552265355,8
3164000.0,5.025162593376793,8
3165500.0,4.656100914656634,8
3168000.0,4.932853916576225,8
3171000.0,5.14049328135447,13
3176500.0,5.372171735118517,11
3184500.0,5.357906157959694,13
3185400.0,4.681853410759049,12
3194700.0,3.906306698432037,8
3195500.0,3.924544285981818,10
3196600.0,4.206184043977636,13
3196800.0,4.125762476667062,7
3197000.0,4.3380094367570585,7
3216600.0,5.997943513205691,15
3217500.0,3.1883135192855607,2
3219500.0,3.6408702349275757,4
3221000.0,3.7252113833613265,9
3227500.0,4.145275290890644,9
3230700.0,4.32396707963402,16
3231500.0,4.770981190655056,8
3234500.0,4.701434455958156,12
3237020.0,4.641502115235482,13
3238000.0,6.202737925851705,15
3248300.0,2.6837575085331657,1
3249505.0,3.664586761544892,4
3250500.0,3.717831276063704,4
3251500.0,4.07524668653016,7
3253500.0,4.197051560414364,7
3254520.0,4.110873864173311,13
3261500.0,3.417726683613366,15
3262500.0,4.130676491469491,4
3262700.0,3.6368622135300366,8
3270500.0,4.5979189592738985,12
3271500.0,4.491021164297186,12
3271601.0,4.527938108124827,13
3271620.0,4.445558790220429,12
3272100.0,4.868168864557008,12
3274000.0,4.776135841243721,12
3282000.0,4.361632582520494,14
3282060.0,4.276388302650885,6
3282120.0,4.355778907269034,12
3282290.0,4.361632582520494,10
3284000.0,4.516338972281476,10
3284230.0,4.69866052907543,10
3284500.0,4.485879764796767,11
3286500.0,4.576178972637493,15
3287000.0,4.465045677893925,10
3287250.0,4.602516668522528,11
3287500.0,4.429327595291846,11
3290080.0,4.833579846974801,3
3290500.0,4.454463568563388,14
3294500.0,6.845241373592895,16
3305000.0,2.278292400425001,1
3306000.0,3.6408702349275757,7
3306500.0,3.717831276063704,7
3308500.0,4.038303171338476,9
3309000.0,4.0700518696530565,5
3316500.0,4.565129136450907,10
3322420.0,6.604079316776007,16
